ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-02-22,8574.357437940847,2765.695604726771,21823.21346211351,8574.357437940847,8574.357437940847,3805.6123263173113,3805.6123263173113,3805.6123263173113,2188.719426902144,2188.719426902144,2188.719426902144,1616.8928994151677,1616.8928994151677,1616.8928994151677,0.0,0.0,0.0,12379.96976425816
2017-02-23,8639.853609029571,2149.4214883435857,20828.54459092647,8639.853609029571,8639.853609029571,2658.0128236711685,2658.0128236711685,2658.0128236711685,1079.3357269104308,1079.3357269104308,1079.3357269104308,1578.6770967607379,1578.6770967607379,1578.6770967607379,0.0,0.0,0.0,11297.86643270074
2017-02-24,8712.185821716745,542.6167758117297,20130.025126244433,8712.185821716745,8712.185821716745,1694.2004906245788,1694.2004906245788,1694.2004906245788,155.00960468818243,155.00960468818243,155.00960468818243,1539.1908859363964,1539.1908859363964,1539.1908859363964,0.0,0.0,0.0,10406.386312341323
2017-02-25,8784.518034403916,-4497.275000145056,13277.90698734891,8784.518034403916,8784.518034403916,-3876.1609828652695,-3876.1609828652695,-3876.1609828652695,-5378.716804078797,-5378.716804078797,-5378.716804078797,1502.5558212135272,1502.5558212135272,1502.5558212135272,0.0,0.0,0.0,4908.357051538647
2017-02-26,8856.85024709109,-3272.8619991635815,16005.61083635661,8856.85024709109,8856.85024709109,-2860.576022100426,-2860.576022100426,-2860.576022100426,-4333.254016901617,-4333.254016901617,-4333.254016901617,1472.6779948011913,1472.6779948011913,1472.6779948011913,0.0,0.0,0.0,5996.274224990664
2017-02-27,8929.182459778263,4434.608588475461,23869.757370043208,8929.182459778263,8929.182459778263,4763.549915375018,4763.549915375018,4763.549915375018,3310.454895370302,3310.454895370302,3310.454895370302,1453.095020004716,1453.095020004716,1453.095020004716,0.0,0.0,0.0,13692.732375153282
2017-02-28,9001.514672465437,4168.627400904605,22378.833707677466,9001.514672465437,9001.514672465437,4425.289071898323,4425.289071898323,4425.289071898323,2978.4511671178693,2978.4511671178693,2978.4511671178693,1446.8379047804547,1446.8379047804547,1446.8379047804547,0.0,0.0,0.0,13426.803744363759
2017-03-01,9073.84688515261,3541.1102177756725,22222.951990759495,9073.84688515261,9073.84688515261,3645.0316091857044,3645.0316091857044,3645.0316091857044,2188.7194269010283,2188.7194269010283,2188.7194269010283,1456.312182284676,1456.312182284676,1456.312182284676,0.0,0.0,0.0,12718.878494338314
2017-03-02,9146.179097839784,2512.424969699527,21743.753595976825,9146.179097839784,9146.179097839784,2562.537703152445,2562.537703152445,2562.537703152445,1079.335726907952,1079.335726907952,1079.335726907952,1483.2019762444932,1483.2019762444932,1483.2019762444932,0.0,0.0,0.0,11708.716800992228
2017-03-03,9218.511310526957,1436.6810040141545,20108.755158179614,9218.511310526957,9218.511310526957,1683.4094940752186,1683.4094940752186,1683.4094940752186,155.00960468885862,155.00960468885862,155.00960468885862,1528.39988938636,1528.39988938636,1528.39988938636,0.0,0.0,0.0,10901.920804602176
2017-03-04,9290.843523214131,-4235.151043664198,15137.520872297166,9290.843523214131,9290.843523214131,-3786.752064845116,-3786.752064845116,-3786.752064845116,-5378.7168040798515,-5378.7168040798515,-5378.7168040798515,1591.9647392347351,1591.9647392347351,1591.9647392347351,0.0,0.0,0.0,5504.0914583690155
2017-03-05,9363.175735901305,-2676.448957951953,15979.132137316346,9363.175735901305,9363.175735901305,-2660.14576250443,-2660.14576250443,-2660.14576250443,-4333.254016904913,-4333.254016904913,-4333.254016904913,1673.1082544004837,1673.1082544004837,1673.1082544004837,0.0,0.0,0.0,6703.029973396875
2017-03-06,9435.507948588476,5306.845116437971,23572.72685363577,9435.507948588476,9435.507948588476,5080.665810508144,5080.665810508144,5080.665810508144,3310.454895360809,3310.454895360809,3310.454895360809,1770.2109151473344,1770.2109151473344,1770.2109151473344,0.0,0.0,0.0,14516.17375909662
2017-03-07,9507.84016127565,5148.974140700535,23582.608510286373,9507.84016127565,9507.84016127565,4859.31736965239,4859.31736965239,4859.31736965239,2978.4511671190335,2978.4511671190335,2978.4511671190335,1880.866202533356,1880.866202533356,1880.866202533356,0.0,0.0,0.0,14367.15753092804
2017-03-08,9580.172373962823,4755.1774811981895,23767.741537059654,9580.172373962823,9580.172373962823,4190.6710658014945,4190.6710658014945,4190.6710658014945,2188.719426899913,2188.719426899913,2188.719426899913,2001.9516389015823,2001.9516389015823,2001.9516389015823,0.0,0.0,0.0,13770.843439764318
2017-03-09,9652.504586649997,4050.092867407894,22528.192845942518,9652.504586649997,9652.504586649997,3209.0599115985115,3209.0599115985115,3209.0599115985115,1079.3357269129594,1079.3357269129594,1079.3357269129594,2129.724184685552,2129.724184685552,2129.724184685552,0.0,0.0,0.0,12861.564498248508
2017-03-10,9724.83679933717,2120.5522290995905,20960.37121561647,9724.83679933717,9724.83679933717,2414.9464308984993,2414.9464308984993,2414.9464308984993,155.0096046840859,155.0096046840859,155.0096046840859,2259.9368262144135,2259.9368262144135,2259.9368262144135,0.0,0.0,0.0,12139.78323023567
